z_center_cm,hottest_channel_q_W,average_channel_q_W,std_channel_q_W,median_channel_q_W,coldest_channel_q_W
9.278100000000000591e+01,2.291433655160257388e+02,1.558734678717102042e+02,3.647771814129668400e+01,1.759327643623740016e+02,4.932639833705862742e+01
9.753900000000000148e+01,2.126472335106079186e+02,1.446422236939258141e+02,3.424154335297807705e+01,1.621646398891680576e+02,4.544639959250598338e+01
1.022969999999999970e+02,2.007570253807948291e+02,1.343958323886176913e+02,3.207774892159157076e+01,1.515086635351337065e+02,4.256988530137191873e+01
1.070550000000000068e+02,1.854325613655773282e+02,1.246783977654289117e+02,3.007538969795826134e+01,1.406116278559210571e+02,3.841999459310472531e+01
1.118130000000000024e+02,1.723027686508495435e+02,1.158756056703961548e+02,2.798081621254090479e+01,1.304601141038284879e+02,3.671304833111270938e+01
1.165709999999999980e+02,1.635049361941585175e+02,1.076390348679458526e+02,2.611359388443965912e+01,1.212082521118911558e+02,3.357341445875982089e+01
1.213290000000000077e+02,1.490709280453780252e+02,1.000968478834525826e+02,2.449716171047478497e+01,1.126849233850339829e+02,3.096780868847617896e+01
1.260870000000000033e+02,1.395361129963001474e+02,9.297500695195118681e+01,2.270212918115064227e+01,1.053353884348666298e+02,3.004620416403126271e+01
1.308449999999999989e+02,1.301182689034741031e+02,8.651268490735500905e+01,2.116331139871812539e+01,9.848908736934409092e+01,2.817287087620342234e+01
1.356030000000000086e+02,1.215013592235857089e+02,8.030720660707950742e+01,1.976581628639378252e+01,9.133868585114207406e+01,2.593945692737345254e+01
1.403609999999999900e+02,1.116702417382866486e+02,7.463116265868177379e+01,1.841561276366057243e+01,8.461753335840202794e+01,2.377838505675850556e+01
1.451189999999999998e+02,1.057973768990626837e+02,6.938590767290278905e+01,1.711292970367924227e+01,7.840494368528634084e+01,2.172872035986339867e+01
1.498770000000000095e+02,9.770025522946286856e+01,6.446839427215898866e+01,1.593750574001912490e+01,7.279326589490874255e+01,1.998841314239247424e+01
1.546349999999999909e+02,9.054626586954073275e+01,5.998796359651107224e+01,1.488235912783894577e+01,6.860722213683793314e+01,1.899857891764855111e+01
1.593930000000000007e+02,8.463321021939731281e+01,5.573580874909152527e+01,1.384157289478798525e+01,6.300108551220741759e+01,1.750747727982491853e+01
1.641510000000000105e+02,7.837139221424494906e+01,5.176547722624192005e+01,1.290897538552430923e+01,5.775558579141488735e+01,1.591470215713274605e+01
1.689089999999999918e+02,7.266632421257901342e+01,4.806610393903751088e+01,1.197234361355236487e+01,5.362749569208241951e+01,1.517671918463500980e+01
1.736670000000000016e+02,6.808101399508926477e+01,4.462425931624802189e+01,1.114663501572595372e+01,4.961553833241939060e+01,1.432894145066300773e+01
1.784250000000000114e+02,6.196170329443806679e+01,4.147709454488695258e+01,1.040297258831052396e+01,4.763119635174022903e+01,1.275169617856854209e+01
1.831829999999999927e+02,5.760355167271683996e+01,3.848276882764011475e+01,9.653705789548997274e+00,4.407155072338147761e+01,1.223335354027751620e+01
1.879410000000000025e+02,5.418753762948646369e+01,3.571900659270296075e+01,8.899651340213033279e+00,4.044851773449607890e+01,1.145311174455243730e+01
1.926990000000000123e+02,4.908592214348755078e+01,3.308101905649334640e+01,8.162901510393476556e+00,3.735288147636090628e+01,1.053345887715445350e+01
1.974569999999999936e+02,4.595178504187273916e+01,3.060384666624910821e+01,7.551428099592674137e+00,3.486553189739356640e+01,9.387029721731753540e+00
2.022150000000000034e+02,4.206128646121253212e+01,2.826709346194606098e+01,7.013052710785033561e+00,3.268253258194576460e+01,9.113001262762868038e+00
2.069730000000000132e+02,3.830341889816710932e+01,2.618427931120531227e+01,6.398751262499422943e+00,3.001513680262818085e+01,8.716952176417773757e+00
2.117309999999999945e+02,3.551854485787970361e+01,2.418817983529324422e+01,5.712892578681429079e+00,2.730536488458888300e+01,8.018243709693539500e+00
2.164890000000000043e+02,3.239300166419234728e+01,2.252007788084531370e+01,5.157572810975292299e+00,2.540672816289802327e+01,7.876664522668552770e+00
2.212470000000000141e+02,2.925217208055410012e+01,2.111956085579160813e+01,4.623059321738809402e+00,2.349072836944263898e+01,6.961651259939327652e+00
2.260049999999999955e+02,2.725949911642328871e+01,2.021548737102148507e+01,4.078793264835681498e+00,2.204281570214321562e+01,6.080616296936289800e+00
2.307630000000000052e+02,2.521659343486265570e+01,2.009324788215445068e+01,3.577357572980120803e+00,2.143926073925683795e+01,7.003044554786676201e+00
2.355210000000000150e+02,2.364967639041931591e+01,2.126844228503780698e+01,3.219684722584490011e+00,2.096077417556339739e+01,7.713636981754597777e+00
